iter	Passed	Remaining
1282	6215	1051
1283	6219	1046
1284	6223	1041
1285	6228	1036
1286	6232	1031
1287	6236	1026
1288	6240	1021
1289	6244	1016
1290	6249	1011
1291	6252	1006
1292	6259	1002
1293	6263	997
1294	6267	992
1295	6271	987
1296	6277	982
1297	6281	977
1298	6285	972
1299	6289	967
1300	6294	962
1301	6298	957
1302	6302	952
1303	6306	947
1304	6310	942
1305	6314	938
1306	6318	933
1307	6323	928
1308	6327	923
1309	6331	918
1310	6335	913
1311	6340	908
1312	6344	903
1313	6348	898
1314	6353	893
1315	6357	888
1316	6361	884
1317	6365	879
1318	6369	874
1319	6374	869
1320	6378	864
1321	6382	859
1322	6386	854
1323	6391	849
1324	6395	844
1325	6399	839
1326	6403	834
1327	6407	829
1328	6411	824
1329	6415	819
1330	6420	815
1331	6424	810
1332	6428	805
1333	6432	800
1334	6437	795
1335	6442	790
1336	6446	785
1337	6451	781
1338	6455	776
1339	6459	771
1340	6462	766
1341	6469	761
1342	6472	756
1343	6477	751
1344	6481	746
1345	6486	742
1346	6490	737
1347	6494	732
1348	6499	727
1349	6503	722
1350	6507	717
1351	6510	712
1352	6516	707
1353	6519	703
1354	6523	698
1355	6527	693
1356	6533	688
1357	6537	683
1358	6541	678
1359	6545	673
1360	6549	668
1361	6553	664
1362	6557	659
1363	6561	654
1364	6566	649
1365	6569	644
1366	6574	639
1367	6578	634
1368	6584	630
1369	6588	625
1370	6593	620
1371	6597	615
1372	6601	610
1373	6605	605
1374	6610	600
1375	6615	596
1376	6619	591
1377	6622	586
1378	6627	581
1379	6631	576
1380	6635	571
1381	6640	566
1382	6644	562
1383	6650	557
1384	6654	552
1385	6660	547
1386	6664	542
1387	6668	538
1388	6672	533
1389	6676	528
1390	6680	523
1391	6684	518
1392	6688	513
1393	6694	509
1394	6698	504
1395	6702	499
1396	6707	494
1397	6711	489
1398	6715	484
1399	6719	479
1400	6723	475
1401	6727	470
1402	6730	465
1403	6735	460
1404	6739	455
1405	6743	450
1406	6747	446
1407	6751	441
1408	6757	436
1409	6760	431
1410	6764	426
1411	6768	421
1412	6774	417
1413	6777	412
1414	6782	407
1415	6786	402
1416	6790	397
1417	6795	392
1418	6798	388
1419	6804	383
1420	6807	378
1421	6812	373
1422	6816	368
1423	6821	364
1424	6825	359
1425	6829	354
1426	6834	349
1427	6838	344
1428	6842	339
1429	6846	335
1430	6850	330
1431	6855	325
1432	6860	320
1433	6864	315
1434	6869	311
1435	6873	306
1436	6877	301
1437	6881	296
1438	6886	291
1439	6890	287
1440	6894	282
1441	6899	277
1442	6903	272
1443	6907	267
1444	6911	263
1445	6916	258
1446	6921	253
1447	6926	248
1448	6931	243
1449	6936	239
1450	6940	234
1451	6945	229
1452	6950	224
1453	6955	220
1454	6959	215
1455	6964	210
1456	6968	205
1457	6972	200
1458	6977	196
1459	6981	191
1460	6985	186
1461	6989	181
1462	6994	176
1463	6998	172
1464	7002	167
1465	7006	162
1466	7010	157
1467	7014	152
1468	7018	148
1469	7023	143
1470	7027	138
1471	7031	133
1472	7036	128
1473	7040	124
1474	7045	119
1475	7049	114
1476	7053	109
1477	7057	105
1478	7063	100
1479	7067	95
1480	7072	90
1481	7076	85
1482	7080	81
1483	7084	76
1484	7088	71
1485	7093	66
1486	7098	62
1487	7102	57
1488	7105	52
1489	7110	47
1490	7114	42
1491	7118	38
1492	7123	33
1493	7128	28
1494	7132	23
1495	7137	19
1496	7142	14
1497	7146	9
1498	7150	4
1499	7154	0
